"closure_id","stable_order","source_commit","source_path","source_sha256","source_bytes","source_lines","source_alpha_token_count","closure_included","canonical_reader_reachable","canonical_reader_order","inclusion_class","inclusion_reason","source_role","source_title_locator","source_olfileid","import_count","imports_resolved_ordered","imports_unresolved","incoming_importer_count","incoming_importers","asset_dependency_count","asset_dependencies","environment_total","environment_counts","part_macro_count","chapter_macro_count","section_macro_count","definition_object_count","theorem_object_count","proposition_object_count","lemma_object_count","corollary_object_count","example_object_count","problem_object_count","proof_object_count","figure_object_count","tikz_object_count","label_count","reference_count","citation_count","math_segment_count","ar_target_path","ar_status","ar_sha256","ar_qa","fa_IR_target_path","fa_IR_status","fa_IR_sha256","fa_IR_qa","paired_acceptance"
"OLP-0001","1","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","content/open-logic-about.tex","e4f2e2ec5d9957fa71df41e9ed100641fe08230f63af6065eaafcb3d37346f4a","1494","29","220","true","true","1","canonical_complete_reader_reachable","Reached by ordered depth-first replay from content/open-logic-about.tex then content/content.tex through uncommented olimport edges.","reader_front_matter","About the Open Logic Project","","0","","","0","","0","","0","","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","locale/ar/content/open-logic-about.tex","ACCEPTED","3DFDAB30491A82C494D48ED98D8D1D81F3778C831C934CD3EB9DC94FFAAF400D","PASS_STATIC_SEMANTIC_BUILD_VISUAL_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","locale/fa-IR/content/open-logic-about.tex","ACCEPTED","2E400AC320BDBCCFAD6EF2A3520E0ABA53BA92D1ABCFB04F202A30CD67908DCD","PASS_STATIC_SEMANTIC_BUILD_VISUAL_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","ACCEPTED"
"OLP-0002","2","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","content/content.tex","b42cd7f4bfd4185ccda7f834a706973a728b2126498c873671924a77b4d8f1d6","2376","74","294","true","true","2","canonical_complete_reader_reachable","Reached by ordered depth-first replay from content/open-logic-about.tex then content/content.tex through uncommented olimport edges.","corpus_root","","","18","content/sets-functions-relations/sets-functions-relations-complete.tex|content/propositional-logic/propositional-logic.tex|content/first-order-logic/first-order-logic.tex|content/model-theory/model-theory.tex|content/computability/computability.tex|content/turing-machines/turing-machines.tex|content/incompleteness/incompleteness.tex|content/second-order-logic/second-order-logic.tex|content/lambda-calculus/lambda-calculus.tex|content/many-valued-logic/many-valued-logic.tex|content/normal-modal-logic/normal-modal-logic.tex|content/applied-modal-logic/applied-modal-logic.tex|content/intuitionistic-logic/intuitionistic-logic.tex|content/counterfactuals/counterfactuals.tex|content/set-theory/set-theory.tex|content/methods/methods.tex|content/history/history.tex|content/reference/reference.tex","","0","","0","","2","document:1|editorial:1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","locale/ar/content/content.tex","ACCEPTED","DDA783A7080EC20C151515B194FA20185E638885CA26424859B6A35F773A5193","PASS_STATIC_SEMANTIC_INDEPENDENT_AI_BUILD_DEFERRED_FOR_DEPENDENCY_CLOSURE","locale/fa-IR/content/content.tex","ACCEPTED","8D9F043FC6A265C43981E51DDA87594D60A33C796FB2A613DFAAE4AF7A117636","PASS_STATIC_SEMANTIC_INDEPENDENT_AI_BUILD_DEFERRED_FOR_DEPENDENCY_CLOSURE","ACCEPTED"
"OLP-0003","3","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","content/sets-functions-relations/sets-functions-relations-complete.tex","03e55d8ee2ec4586a5dc8b64e6fa59950c46da3cdee54267946015e7bbd989ed","738","30","77","true","true","3","canonical_complete_reader_reachable","Reached by ordered depth-first replay from content/open-logic-about.tex then content/content.tex through uncommented olimport edges.","part_driver","Na\""ive Set Theory","","6","content/sets-functions-relations/sets/sets.tex|content/sets-functions-relations/relations/relations-complete.tex|content/sets-functions-relations/functions/functions.tex|content/sets-functions-relations/size-of-sets/size-of-sets-complete.tex|content/sets-functions-relations/arithmetization/arithmetization.tex|content/sets-functions-relations/infinite/infinite.tex","","1","content/content.tex","0","","2","document:1|editorial:1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","locale/ar/content/sets-functions-relations/sets-functions-relations-complete.tex","ACCEPTED","467A6906D5C46FEBFC3EC1538CD0907EEB7D68FBECE16A4F4BE6452E834F6527","PASS_STATIC_SEMANTIC_INDEPENDENT_AI_BUILD_DEFERRED_FOR_DEPENDENCY_CLOSURE","locale/fa-IR/content/sets-functions-relations/sets-functions-relations-complete.tex","ACCEPTED","9B7FE5D8B6438191BF45FEAEC8D7D3367CEA80A412C6653065846758C326A41D","PASS_STATIC_SEMANTIC_INDEPENDENT_AI_BUILD_DEFERRED_FOR_DEPENDENCY_CLOSURE","ACCEPTED"
"OLP-0004","4","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","content/sets-functions-relations/sets/sets.tex","eea34d38bb52811468a0025d348457a0f4d3f44aae4b7cabb28551d6328e2785","380","25","22","true","true","4","canonical_complete_reader_reachable","Reached by ordered depth-first replay from content/open-logic-about.tex then content/content.tex through uncommented olimport edges.","chapter_driver","Sets","","6","content/sets-functions-relations/sets/basics.tex|content/sets-functions-relations/sets/subsets.tex|content/sets-functions-relations/sets/important-sets.tex|content/sets-functions-relations/sets/unions-and-intersections.tex|content/sets-functions-relations/sets/pairs-and-products.tex|content/sets-functions-relations/sets/russells-paradox.tex","","2","content/sets-functions-relations/sets-functions-relations-complete.tex|content/sets-functions-relations/sets-functions-relations.tex","0","","1","document:1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","locale/ar/content/sets-functions-relations/sets/sets.tex","ACCEPTED","B1C50900475E2F94BF13435C7A5069F6BC6820C7F8D2D3B5C49321E521088ECF","PASS_STATIC_SEMANTIC_INDEPENDENT_AI_BUILD_DEFERRED_FOR_DEPENDENCY_CLOSURE","locale/fa-IR/content/sets-functions-relations/sets/sets.tex","ACCEPTED","DF9B514CCED39A35FA88B65A53659B7207D7E899F8B48CF08066E611752850C9","PASS_STATIC_SEMANTIC_INDEPENDENT_AI_BUILD_DEFERRED_FOR_DEPENDENCY_CLOSURE","ACCEPTED"
"OLP-0005","5","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","content/sets-functions-relations/sets/basics.tex","8bc9151af0985e6e20c374aa38cddd1add7a8dffbabccc94b89f324f62c40f8c","3922","104","575","true","true","5","canonical_complete_reader_reachable","Reached by ordered depth-first replay from content/open-logic-about.tex then content/content.tex through uncommented olimport edges.","reader_unit","Extensionality","sfr","0","","","1","content/sets-functions-relations/sets/sets.tex","0","","10","defn:1|document:1|ex:3|explain:1|prob:1|tagblock:3","0","0","1","1","0","0","0","0","3","1","0","0","0","0","0","0","52","locale/ar/content/sets-functions-relations/sets/basics.tex","ACCEPTED","1175854930480BAFE2EAA2853E068665C083589A4BAF03ACBF55E781FF3E013F","PASS_STATIC_SEMANTIC_BUILD_VISUAL_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","locale/fa-IR/content/sets-functions-relations/sets/basics.tex","ACCEPTED","129320E9EEA66762B41C28C6970DBAC6A87D84433AEC529A18BDE8AE903F849C","PASS_STATIC_SEMANTIC_BUILD_VISUAL_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","ACCEPTED"
"OLP-0006","6","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","content/sets-functions-relations/sets/subsets.tex","5d982f62c40325cf75da4517add45ca073e23fb9463cfb3adfb9aafbb8582e46","3618","104","543","true","true","6","canonical_complete_reader_reachable","Reached by ordered depth-first replay from content/open-logic-about.tex then content/content.tex through uncommented olimport edges.","reader_unit","Subsets and Power Sets","sfr","0","","","1","content/sets-functions-relations/sets/sets.tex","0","","11","defn:3|document:1|ex:3|explain:1|prob:2|prop:1","0","0","1","3","0","1","0","0","3","2","0","0","0","0","0","0","65","locale/ar/content/sets-functions-relations/sets/subsets.tex","ACCEPTED","1DC4A005B7F44CDFC46DBF485626BF76551EECBB108C7F822F41A2DF8A883AE5","PASS_STATIC_SEMANTIC_BUILD_VISUAL_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","locale/fa-IR/content/sets-functions-relations/sets/subsets.tex","ACCEPTED","B8755941AFB97FC801C6FF9F03B54522AE64AC4D321DF207D77C1CE85AC1B4F4","PASS_STATIC_SEMANTIC_BUILD_VISUAL_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","ACCEPTED"
"OLP-0007","7","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","content/sets-functions-relations/sets/important-sets.tex","b1b998cad3fa5aef48670f755245f86efe00b239d332a50e764147602405fb32","2720","70","315","true","true","7","canonical_complete_reader_reachable","Reached by ordered depth-first replay from content/open-logic-about.tex then content/content.tex through uncommented olimport edges.","reader_unit","Some Important Sets","sfr","0","","","1","content/sets-functions-relations/sets/sets.tex","0","","7","document:1|ex:3|multline*:2|tagblock:1","0","0","1","0","0","0","0","0","3","0","0","0","0","0","1","0","26","locale/ar/content/sets-functions-relations/sets/important-sets.tex","ACCEPTED","C9A36E2DBBD89674A4F13784EC149DD93EF2F94881B67AAC62D38FF028C9A3EF","PASS_STATIC_SEMANTIC_BUILD_VISUAL_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","locale/fa-IR/content/sets-functions-relations/sets/important-sets.tex","ACCEPTED","CDC437750FE229D26DB7E8FD8651350549906375B0AF744B4058AF1B4EAF9F84","PASS_STATIC_SEMANTIC_BUILD_VISUAL_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","ACCEPTED"
"OLP-0008","8","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","content/sets-functions-relations/sets/unions-and-intersections.tex","2ad0eec70308ceeff2a4158b2dee60e59a9b1cf9268fc95c4bb1da05f65ad60d","6075","175","911","true","true","8","canonical_complete_reader_reachable","Reached by ordered depth-first replay from content/open-logic-about.tex then content/content.tex through uncommented olimport edges.","reader_unit","Unions and Intersections","sfr","0","","","1","content/sets-functions-relations/sets/sets.tex","3","assets/diagrams/union.tikz|assets/diagrams/intersection.tikz|assets/diagrams/difference.tikz","23","align*:4|defn:5|document:1|ex:3|explain:3|figure:3|prob:4","0","0","1","5","0","0","0","0","3","4","0","3","0","0","4","0","72","locale/ar/content/sets-functions-relations/sets/unions-and-intersections.tex","ACCEPTED","112BCA7B160608FE147114AE1BEE0EB4E18406B0BF9D312A705B8FA2D62D2025","PASS_STATIC_SEMANTIC_BUILD_VISUAL_LINKS_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","locale/fa-IR/content/sets-functions-relations/sets/unions-and-intersections.tex","ACCEPTED","1015C403DB83903E04890FE7CB9B28ABF3AC2E2A4A32E652BCE62224C0A1EAD5","PASS_STATIC_SEMANTIC_BUILD_VISUAL_LINKS_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","ACCEPTED"
"OLP-0009","9","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","content/sets-functions-relations/sets/pairs-and-products.tex","3db7f0241d387b49488f70e78062c24192b813873618f761565d97bd7249431c","4645","130","669","true","true","9","canonical_complete_reader_reachable","Reached by ordered depth-first replay from content/open-logic-about.tex then content/content.tex through uncommented olimport edges.","reader_unit","Pairs, Tuples, Cartesian Products","sfr","0","","","1","content/sets-functions-relations/sets/sets.tex","0","","15","align*:1|array:1|defn:2|document:1|ex:3|explain:2|prob:3|proof:1|prop:1","0","0","1","2","0","1","0","0","3","3","1","0","0","0","1","0","78","locale/ar/content/sets-functions-relations/sets/pairs-and-products.tex","ACCEPTED","0209ACCAD5BA65DA9955892285D637EC9B4DA5B98D8C7830695BE6F8161B6809","PASS_STATIC_SEMANTIC_BUILD_VISUAL_LINKS_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","locale/fa-IR/content/sets-functions-relations/sets/pairs-and-products.tex","ACCEPTED","9474699C22D159D4F715B48E49B727E9BEAD8AE93F3BEBBD62C1CBD186C92BC5","PASS_STATIC_SEMANTIC_BUILD_VISUAL_LINKS_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","ACCEPTED"
"OLP-0010","10","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","content/sets-functions-relations/sets/russells-paradox.tex","9a76315cd0d9cf89d27e90a9b87138b1c95aea98e0d26de3fe12d897b8c4d10d","3761","90","593","true","true","10","canonical_complete_reader_reachable","Reached by ordered depth-first replay from content/open-logic-about.tex then content/content.tex through uncommented olimport edges.","reader_unit","Russell's Paradox","sfr","0","","","1","content/sets-functions-relations/sets/sets.tex","0","","6","digress:1|document:1|explain:1|proof:1|tagblock:1|thm:1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","34","locale/ar/content/sets-functions-relations/sets/russells-paradox.tex","ACCEPTED","842dbaa2aae165ce42b1999dde89d621f4e90e4a60d72781879c5b878e9b9d56","PASS_STATIC_SEMANTIC_BUILD_VISUAL_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","locale/fa-IR/content/sets-functions-relations/sets/russells-paradox.tex","ACCEPTED","040b0431da0d24ce6cfc12bdfcbd1b0970e8fd9397a4a6fb3d8ef36b93287886","PASS_STATIC_SEMANTIC_BUILD_VISUAL_INDEPENDENT_AI_WITH_ACCESSIBILITY_CAVEAT","ACCEPTED"
